sample,workedmaterial,Sq.n,Sq.min,Sq.max,Sq.mean,Sq.median,Sq.sd,Ssk.n,Ssk.min,Ssk.max,Ssk.mean,Ssk.median,Ssk.sd,Sku.n,Sku.min,Sku.max,Sku.mean,Sku.median,Sku.sd,Sp.n,Sp.min,Sp.max,Sp.mean,Sp.median,Sp.sd,Sv.n,Sv.min,Sv.max,Sv.mean,Sv.median,Sv.sd,Sz.n,Sz.min,Sz.max,Sz.mean,Sz.median,Sz.sd,Sa.n,Sa.min,Sa.max,Sa.mean,Sa.median,Sa.sd,Smr.n,Smr.min,Smr.max,Smr.mean,Smr.median,Smr.sd,Smc.n,Smc.min,Smc.max,Smc.mean,Smc.median,Smc.sd,Sxp.n,Sxp.min,Sxp.max,Sxp.mean,Sxp.median,Sxp.sd,Sal.n,Sal.min,Sal.max,Sal.mean,Sal.median,Sal.sd,Std.n,Std.min,Std.max,Std.mean,Std.median,Std.sd,Sdq.n,Sdq.min,Sdq.max,Sdq.mean,Sdq.median,Sdq.sd,Sdr.n,Sdr.min,Sdr.max,Sdr.mean,Sdr.median,Sdr.sd,VM.n,VM.min,VM.max,VM.mean,VM.median,VM.sd,Vv.n,Vv.min,Vv.max,Vv.mean,Vv.median,Vv.sd,Vmp.n,Vmp.min,Vmp.max,Vmp.mean,Vmp.median,Vmp.sd,Vmc.n,Vmc.min,Vmc.max,Vmc.mean,Vmc.median,Vmc.sd,Vvc.n,Vvc.min,Vvc.max,Vvc.mean,Vvc.median,Vvc.sd,Vvv.n,Vvv.min,Vvv.max,Vvv.mean,Vvv.median,Vvv.sd,Vvv.1.n,Vvv.1.min,Vvv.1.max,Vvv.1.mean,Vvv.1.median,Vvv.1.sd,Mean.depth.of.furrows.n,Mean.depth.of.furrows.min,Mean.depth.of.furrows.max,Mean.depth.of.furrows.mean,Mean.depth.of.furrows.median,Mean.depth.of.furrows.sd,Mean.density.of.furrows.n,Mean.density.of.furrows.min,Mean.density.of.furrows.max,Mean.density.of.furrows.mean,Mean.density.of.furrows.median,Mean.density.of.furrows.sd,First.direction.n,First.direction.min,First.direction.max,First.direction.mean,First.direction.median,First.direction.sd,Second.direction.n,Second.direction.min,Second.direction.max,Second.direction.mean,Second.direction.median,Second.direction.sd,Third.direction.n,Third.direction.min,Third.direction.max,Third.direction.mean,Third.direction.median,Third.direction.sd,Isotropy.n,Isotropy.min,Isotropy.max,Isotropy.mean,Isotropy.median,Isotropy.sd,Fractal.complexity.Asfc.n,Fractal.complexity.Asfc.min,Fractal.complexity.Asfc.max,Fractal.complexity.Asfc.mean,Fractal.complexity.Asfc.median,Fractal.complexity.Asfc.sd,Smfc.n,Smfc.min,Smfc.max,Smfc.mean,Smfc.median,Smfc.sd,HAsfc9.n,HAsfc9.min,HAsfc9.max,HAsfc9.mean,HAsfc9.median,HAsfc9.sd,HAsfc81.n,HAsfc81.min,HAsfc81.max,HAsfc81.mean,HAsfc81.median,HAsfc81.sd
archaeological,A,3,0.2977228393,0.6052951341,0.5019459605666666,0.6028199083,0.17686674116581383,3,-0.4999966335,-0.1248079305,-0.3530773158,-0.4344273834,0.2003871648549352,3,2.966135829,4.609383332,4.019890988666667,4.484153805,0.9147243087407552,3,0.8258790751,2.538420513,1.8495967943666667,2.184490795,0.9040547759269342,3,1.129801745,2.645373086,2.1076580823333333,2.547799416,0.8482525671146175,3,1.95568082,5.086219928,3.9572548760000004,4.8298638800000004,1.7381466083376753,3,0.2421010693,0.4535427281,0.38279379446666667,0.452737586,0.12184413916790458,3,0.5630185887,72.61160024,25.471585842233335,3.240138698,40.84638859294835,3,0.3491130286,0.7118128998,0.5839248633666667,0.6908486617,0.20362299263502795,3,0.6744423869,1.411466757,1.1202942223,1.274973523,0.39210393402656163,3,21.98765446,26.94901597,24.168446040000003,23.56866769,2.534477768707769,3,59.25043691,163.4992989,114.33073733666667,120.2424762,52.37525941552654,3,0.063167972,0.15799197,0.11334589833333333,0.118877753,0.04765342286988252,3,0.195796305,1.161899142,0.6781552801,0.6767703933,0.4830529074008858,3,0.008430133798,0.03815466792,0.024697047432666666,0.02750634058,0.01506008227677479,3,0.3575431484,0.7392910746,0.6086147605,0.7290100585,0.21749515080774046,3,0.008430133798,0.03815466792,0.024697047432666666,0.02750634058,0.01506008227677479,3,0.2809664561,0.4722422421,0.39900445346666663,0.4438046622,0.10320804525032012,3,0.318213389,0.646524195,0.5362531909,0.6440219887,0.18883215210481338,3,0.03932975944,0.09526908586,0.07236156959666667,0.08248586349,0.029311739204792464,3,1.109384771,2.246771579,1.8671733709999998,2.245363763,0.6562645558034826,3,0.2154649652,0.42130239,0.3514682087,0.4176372709,0.1177965192881119,3,4092.831002,4417.385863,4265.161608333334,4285.26796,163.2089565026692,3,45.00284073,135.0107561,105.00469767666667,135.0004962,51.96313264327484,3,44.97873183,179.9812455,104.98727574666667,90.00184991,68.73748551506894,3,116.4822442,179.9597176,143.8116745,134.9930617,32.64465279489384,3,22.69762933,78.41562849,47.53355142,41.48739644,28.346796117552234,3,0.3446202031,2.333816422,1.3232127593666667,1.291201653,0.9949843880783394,3,1850551.913,1997450.375,1948484.221,1997450.375,84811.86657924204,3,0.3208971038,0.764486423,0.49789068323333335,0.4082885229,0.23497719331752212,3,0.8711394278,1.317893313,1.1647303902666666,1.30515843,0.25433695021139513
archaeological,B,3,2.612909685,4.916326205,3.9094753069999997,4.199190031,1.1787208669269515,3,0.7836470816,2.219710084,1.5742247302,1.719317025,0.728943116589541,3,5.62445389,15.31088115,11.507882943333334,13.58831379,5.167481267178374,3,19.82798694,32.72366028,25.17748851,22.98081831,6.722619853797529,3,8.96925612,20.99808392,13.467678193333333,10.43569454,6.562611386946024,3,31.95007443,43.15935482,38.64516670333333,40.82607086,5.914325736788098,3,1.854381231,3.457568878,2.7043373733333333,2.801062011,0.8059586835081313,3,0.02709831234,0.1973936994,0.08782804128,0.0389921121,0.09507281786943252,3,2.632502995,6.385340911,4.193156549,3.561625741,1.9545003138990937,3,4.088378941,7.78093407,6.196554387333333,6.720350151,1.901187088821721,3,16.77108799,25.59069664,19.752239796666668,16.89493476,5.056631115595563,3,8.497426394,176.5025046,102.16775323133334,121.5033287,85.65526799198881,3,0.727786602,1.258020593,1.0157110323333334,1.061325902,0.26804394892251765,3,12.29056545,26.72203512,21.40121834,25.19105445,7.927103664928788,3,0.2112700539,0.4514009914,0.3591751353666667,0.4148543608,0.12938643242163836,3,2.843738909,6.80015973,4.5523042359999994,4.013014069,2.032594854214126,3,0.2112700539,0.4514009914,0.3591751353666667,0.4148543608,0.12938643242163836,3,2.002648515,3.547720109,2.8520449586666667,3.005766252,0.7839223396896402,3,2.599977634,6.310545243,4.188761751,3.655762376,1.9118431540146767,3,0.2437612748,0.4896144874,0.3635424850333333,0.3572516929,0.12304727175229774,3,9.746073442,15.60503401,13.346591394,14.68866673,3.151623294426121,3,2.38210249,4.816950689,3.749140398333333,4.048368016,1.244698482936425,3,4046.678416,4363.742853,4164.03747,4081.691141,173.83369272774442,3,0.001965736877,116.4702932,38.829534356399,0.01634413232,67.23886991199524,3,26.46452233,153.5310946,101.23940241,123.7225903,66.44997178618335,3,18.51834036,179.9860452,75.00922114666668,26.52327788,91.00065904936159,3,29.71672782,64.19562651,42.80727952666666,34.50948425,18.677223256119326,3,14.90367862,31.76963025,25.36894122,29.43351479,9.138142580734435,3,3409565.818,181044282.7,68593006.05933332,21325169.66,97796776.16794266,3,0.8047611737,1.520231571,1.1750494142333334,1.200155498,0.35839532493425347,3,1.232929425,2.545510364,1.9812841766666667,2.165412741,0.6753848358596166
archaeological,C,3,1.273286034,2.478148278,1.7926475196666667,1.626508247,0.6193746444566774,3,-0.5696368086,-0.04036095958,-0.27819641669333334,-0.2245914819,0.2686788935971871,3,2.943223448,3.879326623,3.3639866326666668,3.269409827,0.47516404292502284,3,3.512734394,6.292448553,5.1152750000000005,5.540642053,1.4378475401688795,3,5.067455209,7.849397781,6.055257832666667,5.248920508,1.556417691154737,3,8.5801896030000009,14.14184633,11.170532831000001,10.78956256,2.800332149546808,3,0.9727405947,1.98781018,1.4131140289,1.278791312,0.5206952179123856,3,0.2278370536,2.806605467,1.1900233453666667,0.5356275155,1.4084342579962867,3,1.593849514,2.848180866,2.123831348,1.929463664,0.6493619041722264,3,2.708214591,5.909015905,3.9928761343333337,3.361397907,1.6912586516033168,3,18.37663248,31.83029763,24.676667883333334,23.82307354,6.7673291607035875,3,81.24548549,85.0002235,82.58370429333333,81.50540389,2.0967983214430364,3,0.3091249952,0.4192804428,0.38090961906666665,0.4143234192,0.06221669541611678,3,3.873825088,6.772996834,5.785354997,6.709243069,1.6557403420793613,3,0.06603862984,0.09103857761,0.07682978590666667,0.07341215027,0.012845603221898243,3,1.65985711,2.921608993,2.2006653873333333,2.020530059,0.6498776853753557,3,0.06603862984,0.09103857761,0.07682978590666667,0.07341215027,0.012845603221898243,3,1.035225124,2.326761117,1.5941989976666668,1.420610752,0.6630354172884337,3,1.495991492,2.565236791,1.9608006406666665,1.821173639,0.5481269488487291,3,0.163865619,0.3563722025,0.23986474726666668,0.1993564203,0.10244700868224216,3,5.250269173,7.361819663,6.520478619333334,6.949347022,1.1191994675030914,3,1.328736056,2.059287078,1.7596959253333333,1.891064642,0.382582675673241,3,3605.444615,3756.538769,3692.041067,3714.139817,77.93347744657494,3,89.9992763,90.00954864,90.00473479666667,90.00537945,0.005166422912328721,3,44.97911059,63.53316714,57.34324863,63.51746816,10.70766051566002,3,71.47902506,135.0143337,96.07092928,81.71942908,34.11243218370635,3,41.24074907,88.82659874,67.73125669333334,73.12642227,24.247353070050686,3,6.155372268,10.23175184,8.859208619333334,10.19050175,2.341681800239929,3,1997450.375,2711283.314,2288247.819,2156009.768,374839.3559907407,3,0.5068321628,0.6295531329,0.5838660270333333,0.6152127854,0.06709749302801794,3,0.9552987519,1.536104109,1.2908717343,1.381212342,0.3007570194670751
archaeological,D,3,0.9620122371,1.475165416,1.2466222380333334,1.302689061,0.26113054729766016,3,-1.016133202,-0.39739452199999997,-0.6977237849,-0.6796436307,0.30976532651986316,3,3.439647206,5.117071417,4.186939218333333,4.004099032,0.8535284976004311,3,2.465177011,3.681437884,3.2736509693333335,3.674338013,0.7001679855716272,3,4.062022501,5.938102583,4.914226881,4.742555559,0.949748598639241,3,6.527199512,9.619540467,8.187877850333333,8.416893572,1.5588390860093468,3,0.6858323184,1.130177453,0.9451695638,1.01949892,0.231309942621373,3,1.321474529,3.852895134,2.5312193203333333,2.419288298,1.269416789386008,3,0.9878719435,1.696963753,1.4195959678333332,1.573952207,0.37890920416671586,3,2.714748982,3.640313049,3.117043714333333,2.996069112,0.4744927305424986,3,19.33643735,26.00001268,22.202076266666666,21.26977877,3.428220093775246,3,3.508712699,98.23678482,44.579572143,31.99321891,48.602100034049265,3,0.286467144,0.3974576794,0.3497280001,0.3652591769,0.057101994944916815,3,3.635523309,6.838971734,5.448042195666667,5.869631544,1.6428096776193641,3,0.04555616045,0.05915357592,0.05294487902666667,0.05412490071,0.006875082926467248,3,1.033437839,1.756103443,1.472537039,1.628069835,0.3856218766808418,3,0.04555616045,0.05915357592,0.05294487902666667,0.05412490071,0.006875082926467248,3,0.6627423129,1.225110872,1.0083757792999999,1.137274153,0.3025321340336117,3,0.8430138357,1.525066755,1.2731518655666667,1.451375006,0.37432828108607136,3,0.176694829,0.2310366888,0.19938517366666667,0.1904240032,0.02825750101707878,3,4.465101761,5.726815403,5.279138124,5.645497208,0.7061476916511273,3,0.9548049818,1.34780299,1.1754639716,1.223783943,0.20090538404772637,3,4767.512119,4855.749538,4821.847938333333,4842.282158,47.53555014917343,3,89.98582124,179.9955421,134.99716028,135.0101175,45.004861828928455,3,44.98683965,134.9882071,74.99003017666666,44.99504378,51.95994555828214,3,44.99730041,179.9942182,104.9976214,90.00134559,68.73651263576876,3,83.03953598,83.46389494,83.19910812333333,83.09389345,0.23091714389917478,3,6.568572493,12.11430329,10.054354117666668,11.48018657,3.035379902877683,3,1363334.328,1363334.328,1363334.328,1363334.328,0,3,0.1204672846,0.2749985286,0.1815996517,0.1493331419,0.08216338651766983,3,0.2785241172,0.4033739008,0.32148111046666666,0.2825453134,0.07094973105061214
experimental,A,4,1.97777141,3.3394749,2.64621403275,2.6338049105000003,0.6996638938363442,4,-0.602321304,0.17973067,-0.335193110825,-0.45909090465,0.35522215057972917,4,3.688909271,4.359591719,3.99663964875,3.9690288024999996,0.27927753736308697,4,5.970735991,10.08707912,8.08088193875,8.132856321999999,1.6963881908783387,4,6.907179506,13.35846349,10.1524011015,10.171980705,2.7934653355293597,4,14.76594373,23.44554261,18.23328304,17.36082291,4.156679762179402,4,1.507445438,2.548329163,2.02534331325,2.022799326,0.5489357529143475,4,0.2123661999,1.042497183,0.5479307876,0.46842988375,0.394549290980741,4,2.325594411,3.744005844,3.0021274645,2.9694548015,0.7550498558183839,4,4.001685643,7.890352214,6.09161312375,6.2372073189999995,1.9499078976940714,4,19.02002637,26.10493194,22.9202431425,23.27800713,3.3527634191721654,4,16.73922896,147.499941,111.37170409000001,140.6238232,63.17160964765964,4,0.604271334,0.8431235959,0.72181755155,0.71993763815,0.10368989657319634,4,13.49233978,22.29499045,17.8406033,17.787541485,3.691280134865561,4,0.1156062949,0.1857345724,0.140526841575,0.13038324950000002,0.03101395399025054,4,2.441197358,3.929702182,3.1426414075,3.099833045,0.7764770023927138,4,0.1156062949,0.1857345724,0.140526841575,0.13038324950000002,0.03101395399025054,4,1.63094254,2.819309318,2.25456063175,2.2839953345,0.6470917278167686,4,2.136792629,3.479245756,2.780744735,2.7534702775,0.6711610686746973,4,0.2303866856,0.4623388493,0.3618966725,0.37743057755,0.11333087420982797,4,7.659157289,12.97746956,10.4504801175,10.5826468105,2.406557670345937,4,1.987793409,2.803313642,2.477281743,2.5590099605,0.3615245205753965,4,4722.83098,5032.460059,4843.28260725,4808.9196950000005,137.58064538498775,4,44.99767218,135.0025839,101.24530858749999,112.49048913499999,43.08087015027359,4,26.47388837,146.2115126,76.9254320125,67.50816354,53.3417053748315,4,0.01489796745,179.9950208,101.25473264436249,112.504505905,76.84730394405987,4,68.96060108,87.86529571,77.2152553625,76.01756233,9.363695888076757,4,22.82649826,34.11905306,29.4564408325,30.440106004999997,5.151845438030014,4,1997450.375,5391969.57,3265030.8907500003,2835351.8090000004,1495452.5650288335,4,0.2337346166,0.2988217016,0.2725296855,0.27878121190000005,0.02808159908916144,4,0.3673717016,0.6589737388,0.5237727667000001,0.5343728132000001,0.13073115835159696
experimental,B,5,0.8364154298,4.619235987,2.12328709776,1.536574267,1.4950942183834104,5,-1.296165697,-0.1070864566,-0.65361273804,-0.7253109012,0.5235425495050892,5,3.106529841,8.634805961,5.6564995096,5.221294491,2.142584985107445,5,3.352778216,15.50205176,7.0655672034000006,5.531097085,5.005628549837708,5,4.837559311,15.01602653,8.5400202612,7.455695598,3.8517017673624547,5,8.330381217,30.51807829,15.6055874654,13.9657832,8.7542256264078,5,0.5722391749,3.244369594,1.5477753828,1.180775473,1.0523054313957805,5,0.1427595274,2.172976213,0.69238564276,0.3123351439,0.8486108551145474,5,0.7856070846,5.220827392,2.43586397292,1.802947784,1.7641730461598284,5,2.14150103,11.17585097,5.0033821402,3.425504125,3.5921934440038137,5,13.52773051,20.11984295,17.94850358,18.88312972,2.65307628704778,5,30.00122401,176.9901586,104.550025614,114.9979809,71.83926043431785,5,0.3297713688,1.153602035,0.61855983262,0.5167717624,0.32746823837195277,5,4.358019837,20.02421379,11.7402700272,11.20305313,6.547419566267984,5,0.05430011135,0.338331324,0.12032263213,0.05897348898,0.12279307325927451,5,0.8398982977,5.559175408,2.55618388374,1.86130113,1.878894270352473,5,0.05430011135,0.338331324,0.12032263213,0.05897348898,0.12279307325927451,5,0.5485578893,3.055027057,1.57343164088,1.30926805,0.9888393089135838,5,0.7110613596,4.777995538,2.22469421732,1.649953264,1.6311688362858487,5,0.1288369381,0.7811798696,0.3314896665,0.2370602135,0.2586959781444001,5,5.027581009,18.60061146,9.1828277606,7.610449939,5.375405918269936,5,0.8644138814,4.799823846,2.25962167688,1.958376011,1.518394216984453,5,4030.24796,4636.392397,4391.6603802,4507.521374,265.0710560624114,5,0.02007024685,179.9973401,74.34963454337,45.00958119,72.90106993018202,5,0.01018834864,179.9985737,86.291559575728,90.01104135,74.47440464939406,5,26.49268323,116.4911812,50.652143222,38.7438006,37.6640399302783,5,23.53333706,81.21074733,55.353435142,68.14213008,28.23484953057512,5,8.78961381,30.50052401,18.492498868,18.78414943,8.989937318491156,5,1850551.913,181044282.7,38358230.349599995,2926507.403,79768448.57996315,5,0.1898136251,3.798385814,1.00605932162,0.3744653313,1.5654972087706163,5,0.2692372252,4.240714872,1.20460797062,0.4874494613,1.703837318674252
