site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,5984,5984,5,,,Limestone,Pebble,complete,76.93,60.8,57.62,442,no,,,,no,Manuport,,
Nesher Ramla,8273,8273,5,,,Limestone,Pebble,complete,58.31,52.71,42.83,197,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,346,346,5,37,P20,Limestone,Pebble,complete,68.52,66.43,51.02,292,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8044,8044,5,45,,Limestone,Pebble,complete,64.02,48.68,37.41,158,no,,,,no,Manuport,,
Nesher Ramla,8681,8681,5,64,,Limestone,Pebble,broken,46.6,33.25,24.28,68,no,,,,no,Manuport,,
Nesher Ramla,6954,6954,5,57,,Limestone,Pebble,broken,81.22,50.67,24.4,158,no,,,,no,Manuport,,
Nesher Ramla,7195,7195,5,54,,Limestone,Pebble,complete,73.82,62.09,46.12,325,no,,,,no,Manuport,,
Nesher Ramla,5501,5501,5,47,,Limestone,Pebble,complete,57.84,52.68,41.15,174,no,,,,no,Manuport,,
Nesher Ramla,296,296,5,37,O21,Limestone,block,broken,121.64,80.1,50.24,710,yes,tip,pecking,1,no,Chopper,,
Nesher Ramla,1667,1667,5,37,,Limestone,Pebble,small_breakage,60.5,49.47,35.05,154,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7014,7014,5,54,,Limestone,Pebble,complete,90.27,66.05,48.95,412,no,,,,no,Manuport,,
Nesher Ramla,8064,8064,5,59,,Limestone,Pebble,broken,69.12,60.1,31.05,177,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,8064,8064-1,5,59,,Limestone,Pebble,complete,78.14,68.03,36.45,264,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8064,8064-2,5,59,,Limestone,Pebble,complete,56.84,47.96,31.21,105,no,,,,no,Manuport,,
Nesher Ramla,8064,8064-3,5,59,,Limestone,Pebble,complete,66.77,50.14,50.95,243,no,,,,no,Manuport,,
Nesher Ramla,4736,4736,5,46,,Limestone,Pebble,complete,61.96,60.91,46.3,245,no,,,,no,Manuport,,
Nesher Ramla,4736,4736-3,5,46,,Limestone,Pebble,small_breakage,60.71,57.33,45.35,205,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,383,383,5,37,Q19,Limestone,Pebble,broken,115.84,88.8,74.73,826,no,,,,no,Manuport,,
Nesher Ramla,4836,4836-1,5,54,,Limestone,Pebble,complete,102.18,78.39,60.95,661,no,,,,no,Manuport,,
Nesher Ramla,4836,4836,5,54,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,4873,4873-4,5,45,,Limestone,Pebble,broken,113.31,70.5,77.21,629,no,,,,no,Manuport,,
Nesher Ramla,4873,4873-3,5,45,,Limestone,block,complete,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,4873,4873-2,5,45,,Limestone,Pebble,complete,76.55,50.14,33.59,170,no,,,,no,Manuport,,
Nesher Ramla,4873,4873-1,5,45,,Limestone,Pebble,complete,89.12,62.35,49.56,375,no,,,,yes,Undefined,,ochre?
Nesher Ramla,4873,4873,5,45,,Limestone,Pebble,broken,58.38,49.23,36.33,179,no,,,,no,Manuport,,
Nesher Ramla,5876,5876,5,,,Limestone,block,complete,59.21,51.5,34.14,116,no,,,,yes,Natural,,ochre?
Nesher Ramla,5876,5876-1,5,,,Limestone,Pebble,complete,73.03,63.5,57.2,384,no,,,,no,Manuport,,
Nesher Ramla,4354,4354,5,,,Limestone,Pebble,complete,44.81,44.77,34.57,91,no,,,,no,Manuport,,
Nesher Ramla,806,806,5,37,,Limestone,Pebble,complete,72.03,60.22,41.93,299,no,,,,no,Manuport,,
Nesher Ramla,8546,8546,5,58B,,Limestone,Pebble,complete,103.41,59.5,35.86,289,yes,central,polish,1,no,Abrader,,
Nesher Ramla,4801,4801,5,46,,Limestone,Pebble,broken,90.99,48.56,42.23,228,no,,,,no,Manuport,,
Nesher Ramla,4450,4450,5,37,,Limestone,Pebble,complete,52.04,43.07,29.98,98,no,,,,no,Manuport,,
Nesher Ramla,8088,8088-1,5,46,,Limestone,Pebble,complete,79.47,66.87,45.31,333,no,,,,no,Manuport,,
Nesher Ramla,8088,8088,5,46,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,6955,6955,5,,,Limestone,Pebble,complete,66.55,59.26,36.68,215,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6100,6100,5,37,,Limestone,Pebble,small_breakage,0,0,0,0,yes,both,mix,2,no,Undefined,,
Nesher Ramla,5100,5100,5,,,Limestone,Pebble,complete,56.94,42.91,36.07,115,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,175,175,5,37A,,Limestone,Pebble,complete,85.69,60.57,37.11,284,no,,,,no,Manuport,,
Nesher Ramla,5910,5910,5,,,Limestone,Pebble,complete,74.73,57.82,50.51,319,no,,,,no,Manuport,,
Nesher Ramla,4327,4327,5,,,Limestone,Pebble,complete,62.49,57.12,42.89,218,no,,,,no,Manuport,,
Nesher Ramla,1719,1719,5,37,,Limestone,Pebble,complete,82.92,64.4,53.1,449,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1885,1885,5,37,,Limestone,Pebble,complete,77.17,53.21,45.3,230,no,,,,no,Manuport,,
Nesher Ramla,1512,1512,5,37,,Limestone,Pebble,complete,73.23,57.3,41.59,235,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,5701,5701-1,5,53,,Limestone,block,complete,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,5701,5701-3,5,53,,Limestone,Pebble,complete,61.81,44.76,39.73,168,yes,tip,mix,1,no,Hammerstone,,
Nesher Ramla,111,111,5,37A,,Limestone,Pebble,complete,53.01,49.86,42.02,162,no,,,,no,Manuport,,
Nesher Ramla,7689,7689,5,54,,Limestone,Pebble,complete,78.97,65.46,40.42,276,no,,,,no,Manuport,,
Nesher Ramla,5701,5701-2,5,53,,Limestone,Pebble,complete,65.02,63.74,58.51,370,no,,,,no,Manuport,,
Nesher Ramla,5911,5911,5,,,Limestone,Pebble,broken,78.06,60.75,53.56,448,yes,tip,pecking,1,no,Chopper,,
Nesher Ramla,157,157,5,37A,,Limestone,Pebble,complete,60,53.06,39.74,156,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,5904,5904-1,5,,,Limestone,Pebble,small_breakage,77.96,68.74,56.04,408,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,5904,5904,5,,,Limestone,Pebble,complete,74.59,72.86,38.25,286,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,1306,1306,5,37,,Limestone,Pebble,complete,56.24,47.53,34.88,147,no,,,,no,Manuport,,
Nesher Ramla,345,345,5,37,P20,Limestone,Pebble,broken,86.68,67.03,45.58,454,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,16,16,5,37,L19,Limestone,Pebble,complete,79.54,61.55,51.91,370,no,,,,no,Manuport,,
Nesher Ramla,1446,1446,5,37,,Limestone,Pebble,complete,53.17,34.41,33.57,83,no,,,,no,Manuport,,
Nesher Ramla,261,261,5,37,O20,Limestone,Pebble,complete,87.32,70.02,60.34,470,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,162,162,5,37,M21,Limestone,Pebble,broken,83.31,72.13,70.31,700,no,,,,no,Manuport,,
Nesher Ramla,8546,8546-1,5,58B,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,5701,5701,5,53,,Limestone,block,broken,86.13,48.24,36.16,168,yes,tip,pecking,1,no,Chopper,,
Nesher Ramla,235,235,5,37,N21,Limestone,Pebble,complete,72.8,63.49,45.88,375,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1502,1502,5,37,,Limestone,Pebble,complete,92.45,64.61,49.22,430,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1681,1681,5,37,,Flint,Pebble,complete,78.81,61.62,49.45,329,no,,,,no,Manuport,,
Nesher Ramla,4375,4375,5,,,Flint,Pebble,broken,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,156,156,5,37,M21,Limestone,Pebble,complete,77.96,66.72,47.6,287,no,,,,no,Manuport,,
Nesher Ramla,4736,4736-2,5,46,,Limestone,block,complete,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,4736,4736-1,5,46,,Limestone,block,broken,110.63,84.98,35.66,516,no,,,,no,Undefined,,concavity anthropic??
Nesher Ramla,74,74,5,37A,,Limestone,Pebble,broken,80.78,71.39,28.56,240,no,,,,no,Manuport,,
Nesher Ramla,6292,6292-1,5,,,Limestone,Pebble,broken,59.94,48.86,29.05,134,no,,,,no,Undefined,,
Nesher Ramla,8692,8692,5,,,Limestone,Pebble,complete,43.41,39.23,37.16,109,no,,,,no,Manuport,,
Tinshemet,bn-424,i371,pt540,,AM18d,Limestone,boulder,complete,163.06,136.34,67.44,2541,yes,central,pecking,1,yes,Anvil,,no wash-need resid samp!
Tinshemet,,I368,pt534,FC,AM18,Limestone,boulder,broken,257.66,174.56,102.85,5000,yes,central,pecking,1,yes,Anvil,,no wash-need resid samp!
Tinshemet,,i346,pt508,FC,AM18d,Limestone,Pebble,broken,120.39,101.65,57.63,767,yes,tip,pecking,1,no,Undefined,,no wash-need resid samp!
Tinshemet,i307,i307,pt445,RS,AL19b,Limestone,Pebble,complete,121.56,101.63,70.37,1408,yes,central,striations,1,no,Anvil,,depresion-no wsh-ned rsid samp
Tinshemet,t401,,,trr,AE23,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Tinshemet,t413,i363,pt526,FC,AM18b,Limestone,block,broken,144,97.29,59.27,1364,yes,central,pecking,1,no,Anvil,,no wash-need resid samp!
Tinshemet,t378,i299,pt427,trr,AF24b,Limestone,Pebble,complete,109,94.36,56.32,710,no,,,,no,Manuport,,no wash-need resid samp!
Tinshemet,t312,i219,pt474,trr,AL25a,Limestone,Pebble,complete,115.36,93.38,50.46,640,yes,tip,pecking,1,no,Hammerstone,,no wash-need resid samp!
Tinshemet,t340,i227,pt287,trr,AH24,Basalt,Pebble,broken,83.88,80.46,30.67,250,yes,central,mix,1,yes,Abrader,,no wash-need resid samp!-medidas e peso aprox-fragmentado
Tinshemet,t372,i281,z86.93,trr,AE23,Basalt,Pebble,complete,108.37,70.73,40.32,392,yes,central,mix,1,yes,Abrader,,no wash-need resid samp!
Nesher Ramla,1186,1186,5,37,,Limestone,Pebble,complete,89.35,63.43,63.11,556,no,,,,no,Manuport,,
Nesher Ramla,1663,1663,5,37,,Limestone,Pebble,complete,75.05,54.66,42.88,247,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7968,7968,5,45,,Limestone,Pebble,broken,63.86,48.33,40.28,168,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1198,1198,5,37,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,6888,6888,5,,,Limestone,Pebble,complete,65.78,51.53,39.04,205,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7275,7275,5,58,,Limestone,Pebble,complete,77.84,65.29,46.95,301,no,,,,no,Manuport,,
Nesher Ramla,6759,6759,5,,,Limestone,Pebble,complete,66.96,52.82,39.83,200,yes,tip,polish,1,no,Abrader,,
Nesher Ramla,362,362,5,37,P19,Limestone,block,broken,155.03,89.32,74.13,1693,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,7006,7006-1,5,,,Limestone,Pebble,complete,71.98,59.1,45.72,319,no,,,,no,Manuport,,
Nesher Ramla,7006,7006,5,54,,Limestone,Pebble,broken,81.14,64.32,53.21,386,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6292,6292,5,,,Limestone,Pebble,complete,78.83,67.08,56.16,433,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8124,8124,5,45,,Limestone,Pebble,small_breakage,87.15,74.83,47.49,402,no,,,,no,Manuport,,
Nesher Ramla,5551,5551,5,,,Limestone,Pebble,broken,86.56,80.51,46.77,479,no,,,,no,Manuport,,
Nesher Ramla,7705,7705,5,,,Limestone,Pebble,complete,53.92,46.7,38.94,141,no,,,,no,Manuport,,
Nesher Ramla,8714,8714,5,45b,,Limestone,block,broken,128.59,100.7,48.96,702,no,,,,no,Natural,,
Nesher Ramla,8714,8714,5,45b,,Limestone,Pebble,small_breakage,88.24,70.19,47.24,377,yes,tip,pecking,2,no,Hammerstone,,
Nesher Ramla,132,132,5,37A,,Limestone,Pebble,broken,72.75,39.86,35.34,121,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8675,8675,5,45A,,Limestone,block,broken,135.23,109.92,52.68,1109,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,4849,4849-1,5,46,,Limestone,block,broken,126.96,65.58,34.89,273,no,,,,no,Natural,,
Nesher Ramla,4849,4849,5,46,,Flint,block,broken,85.25,56.4,47.14,287,no,,,,no,Manuport,,
Fara II,,5,UF,,L6-d,Flint,Pebble,small_breakage,65.84,34.94,23.3,73,yes,tip,pecking,1,no,Chopper,,
Fara II,,,,,M13-d,Limestone,Pebble,small_breakage,92.81,72.03,67.19,585,yes,tip,pecking,2,no,Hammerstone,,
Fara II,,83,,,R14-c,Limestone,Pebble,complete,106.17,55.9,52.45,485,yes,both,mix,3,yes,Pebble Pestle,,ochre?-hamer or pestle like?
Fara II,,16,LF,,M10-b,Limestone,Pebble,broken,87.79,56.82,16.94,106,yes,tip,pecking,1,no,Undefined,,Flake?
Fara II,,21,LF,,N15-c,Limestone,Pebble,complete,72.05,52.68,38.39,198,yes,tip,pecking,1,no,Hammerstone,,
Fara II,,72,,,?-15,Limestone,Pebble,complete,79.25,44.4,15.88,87,yes,tip,mix,3,no,Hammerstone,,retucher?
Fara II,,16,,,M12-d,Other,block,broken,113.93,85.14,28.35,368,yes,central,pecking,1,no,Anvil,,
Fara II,,23,,,O12-a,Limestone,Pebble,complete,58.67,35.75,21.42,62,yes,tip,pecking,2,no,Hammerstone,,
Fara II,,89,LF,,M15-d,Limestone,Pebble,complete,110.54,62.05,43.54,300,no,,,,no,Manuport,,
Fara II,,,LF,,M5-b,Flint,Pebble,complete,0,0,0,0,no,,,,no,Manuport,,
Fara II,,4,,,L12,Limestone,block,broken,127.69,73.32,33.35,365,yes,central,pecking,1,no,Anvil,,??
Fara II,,16,LF,,M8-d,Limestone,block,broken,38.23,42.02,20.01,46,no,,,,no,Manuport,,small
Fara II,,33,LF,,P13-c,Limestone,block,broken,40.5,33.45,24.55,44,no,,,,no,Manuport,,
Fara II,,20,LF,,O9-a,Limestone,block,broken,68.94,58.26,29.6,148,no,,,,no,Manuport,,burned
Fara II,,35,LF,,L11-d,Limestone,Pebble,broken,82.25,65.56,31.47,220,yes,central,pecking,1,no,Hammerstone,,??
Fara II,,85,LF,,L13-c,Limestone,Pebble,broken,0,0,0,0,yes,central,pecking,1,no,Hammerstone,,
Fara II,,40,LF,,M6,Limestone,Pebble,broken,82.23,77.66,48.23,323,yes,tip,pecking,1,no,Chopper,,???
Fara II,,42,LF,,L12 and more,Limestone,Pebble,broken,95.38,76.93,52.78,402,yes,both,pecking,3,no,Hammerstone,,Several artifacts-refiting
Fara II,,37,LF,,M2-d,Limestone,Pebble,broken,68.29,50.2,31.39,134,yes,central,pecking,1,no,Hammerstone,,
Fara II,,85,LF,,M11-d,Limestone,Pebble,broken,79.15,74.94,57.42,624,yes,central,pecking,1,no,Anvil,,Anvil broken???
Fara II,,,,,,Limestone,Pebble,broken,0,0,0,0,yes,tip,pecking,2,no,Hammerstone,,
Fara II,,84,LF,,M11-b,Limestone,Pebble,small_breakage,66.81,57.27,37.34,220,yes,both,pecking,3,no,Hammerstone,,
Fara II,,37,,,M15,Limestone,block,broken,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,7945,7945,5,45,,Limestone,Pebble,complete,45.82,39.37,28.54,70,no,,,,no,Manuport,,
Nesher Ramla,7945,7945-1,5,45,,Limestone,Pebble,broken,50.24,34.13,21.34,42,no,,,,no,Manuport,,
Nesher Ramla,8709,8709-1,5,45,,Limestone,Pebble,complete,60.56,52.16,41.01,173,no,,,,no,Manuport,,
Nesher Ramla,8709,8709,5,45,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,6294,9694,5,54,,Limestone,Pebble,complete,75.33,52.31,39.34,211,no,,,,no,Manuport,,
Nesher Ramla,6294,6294-1,5,54,,Limestone,Pebble,complete,77.41,73.51,50.92,418,no,,,,no,Manuport,,
Nesher Ramla,5570,5570-1,5,47,,Limestone,Pebble,broken,86.49,62.37,62.65,541,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8150,8150-1,5,,,Limestone,Pebble,broken,78.16,48.98,21.63,106,no,,,,no,Manuport,,
Nesher Ramla,8150,8150,5,,,Limestone,Pebble,broken,60.81,54.56,35.09,172,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7909,7909-1,5,46,,Limestone,Pebble,broken,70.8,54.84,26.81,139,no,,,,no,Manuport,,
Nesher Ramla,7909,7909-2,5,46,,Limestone,block,broken,53.1,43.37,36.91,121,no,,,,no,Manuport,,
Nesher Ramla,7909,7909,5,46,,Limestone,block,complete,75.09,41.95,25.69,90,no,,,,no,Manuport,,
Nesher Ramla,8481,8481,5,37,,Limestone,Pebble,complete,59.59,41.73,37.85,135,no,,,,no,Manuport,,
Nesher Ramla,8481,8481-2,5,,,Limestone,Pebble,broken,69.37,52.88,48.11,230,no,,,,no,Manuport,,
Nesher Ramla,8481,8481-1,5,37,,Limestone,Pebble,complete,59.37,47.45,34.67,127,no,,,,no,Manuport,,
Nesher Ramla,5506,5506,5,47,,Limestone,Pebble,broken,101.97,65.01,29.3,363,yes,central,mix,1,no,Anvil,,broken anvil???
Nesher Ramla,5506,5506-1,5,47,,Limestone,block,broken,66.94,58.39,35.6,206,yes,central,polish,1,no,Undefined,,??? wierd texture 
Nesher Ramla,6955,6955-1,5,58,,Limestone,Pebble,complete,80.25,56.77,38.21,238,no,,,,no,Manuport,,
Nesher Ramla,6955,6955,5,58,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8716,8716-2,5,45A,,Limestone,block,broken,128.97,114.92,49.3,1031,yes,central,pecking,1,no,Anvil,,??
Nesher Ramla,8504,8504,5,37,,Limestone,Pebble,complete,52.88,38.22,28.29,68,no,,,,no,Manuport,,
Nesher Ramla,8504,8504-1,5,37,,Limestone,Pebble,broken,71.37,46.97,39.27,177,no,,,,no,Manuport,,
Nesher Ramla,5946,5946-1,5,,,Limestone,Pebble,broken,65.13,56.46,34.4,173,no,,,,no,Manuport,,
Nesher Ramla,5946,5946-2,5,,,Limestone,Pebble,broken,71.07,46.96,21.27,82,no,,,,no,Manuport,,
Nesher Ramla,5946,5946,5,,,Limestone,Pebble,complete,87.56,66.25,44.55,370,yes,tip,polish,1,no,Undefined,,polish??
Nesher Ramla,1674,1674,5,37,,Limestone,Pebble,complete,93.88,65.05,39.74,297,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,141,141,5,37A,,Limestone,Pebble,complete,73.52,70.02,57.53,341,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6079,6079,5,37,,Limestone,Pebble,broken,73.54,68.25,59.14,454,yes,central,pecking,2,no,Anvil,,refit with id-45
Nesher Ramla,145,145,5,37,M20,Limestone,Pebble,broken,133.52,111.1,70.66,1648,yes,central,pecking,2,no,Anvil,,refit with id-6079
Nesher Ramla,108,108,5,37,L20,Limestone,block,broken,131.29,102.97,35.2,621,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,12,12,5,37,L19,Limestone,Pebble,complete,88.98,68.77,43.75,410,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,742,742,5,37,,Limestone,Pebble,broken,78.08,42.57,44.84,219,no,,,,no,Manuport,,
Nesher Ramla,1392,1392,5,37,,Limestone,Pebble,complete,66.52,55.18,46.31,139,no,,,,no,Manuport,,
Nesher Ramla,115,115,5,37,L20,Limestone,block,broken,143.9,107.72,42.74,887,yes,tip,pecking,1,no,Chopper,,
Nesher Ramla,1173,1173,5,37,,Limestone,Pebble,complete,78.39,69.74,37.98,320,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,232,232,5,37,N21,Limestone,Pebble,complete,67.18,57.51,39.54,219,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,999,999,5,37,,Limestone,Pebble,complete,86.26,72.02,58.31,486,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1169,1169,5,37,,Limestone,Pebble,complete,67.38,44.33,34.75,153,no,,,,no,Manuport,,
Nesher Ramla,146,146,5,37,M20,Limestone,Pebble,small_breakage,62.21,54.78,50.23,222,yes,tip,pecking,1,no,Chopper,,
Nesher Ramla,942,942,5,37,,Limestone,block,broken,144.32,106.45,28.16,585,no,,,,no,Natural,,
Nesher Ramla,8047,8047,5,45,,Limestone,Pebble,complete,61.18,57.26,42.69,215,no,,,,no,Manuport,,
Nesher Ramla,107,107,5,37A,,Limestone,Pebble,complete,81.41,63.53,43.43,363,no,,,,no,Manuport,,
Nesher Ramla,204,204,5,37,M21,Limestone,Pebble,broken,66.67,61.57,47.83,290,no,,,,no,Manuport,,
Nesher Ramla,6041,6041,5,37,,Limestone,Pebble,broken,72.22,49.27,36.01,164,no,,,,no,Manuport,,
Nesher Ramla,854,854,5,37,,Limestone,block,broken,183.61,110.32,44.37,1363,no,,,,no,Natural,,
Nesher Ramla,95,95,5,37,L20,Limestone,Pebble,broken,106.04,48.5,41.75,301,yes,tip,pecking,1,no,Hammerstone,,??
Nesher Ramla,647,647,5,37,,Limestone,Pebble,broken,75.23,51.37,28.5,136,no,,,,no,Manuport,,
Nesher Ramla,271,271,5,37,O21,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,349,349,5,37,P20,Limestone,Pebble,complete,90.3,66.47,54.65,409,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,6383,6383,5,,,Limestone,Pebble,complete,76.55,59.69,42.37,249,no,,,,,Manuport,,
Nesher Ramla,1017,1017,5,37,,Limestone,Pebble,broken,54.77,62.82,38.34,218,no,,,,no,Manuport,,
Nesher Ramla,149,149,5,37,M21,Limestone,block,broken,100.8,70.81,59.39,737,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,6338,6338,5,,,Limestone,Pebble,complete,72.59,58.21,41.89,257,no,,,,no,Manuport,,
Nesher Ramla,7711,7711-5,5,45B,,Limestone,Pebble,complete,84.47,69.44,50.76,418,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,7711,7711-4,5,45B,,Limestone,Pebble,complete,43.11,38.4,31.71,79,no,,,,no,Manuport,,
Nesher Ramla,7711,7711-3,5,45B,,Limestone,Pebble,complete,55.07,41.38,27.56,76,no,,,,no,Manuport,,
Nesher Ramla,7711,7711-1,5,45B,,Limestone,Pebble,broken,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8711,8711,5,45B,,Limestone,Pebble,complete,54.42,43.14,21.87,63,yes,tip,pecking,1,no,Hammerstone,,hummerstone flake?
Nesher Ramla,8096,8096-1,5,45,,Limestone,Pebble,broken,60.42,35.97,25.06,85,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8096,8096,5,45,,Limestone,Pebble,complete,93.18,71.82,49.05,495,no,,,,no,Manuport,,
Nesher Ramla,8082,8082,5,45,,Limestone,Pebble,complete,72.16,52.38,41.27,211,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8082,8082-1,5,45,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Ein Quashish,S1314,S1314,plot-22.23,I-J-43,,Limestone,block,broken,306.03,207.79,67.81,6172,yes,,pecking,2,no,Anvil,,2 pieces refit-anvil?????Samp for resid
Ein Quashish,M49,M49,plot-22.43,F,,Limestone,block,broken,153.52,132.48,40.46,1280,no,,,,no,Anvil,,?????Samp for resid
Ein Quashish,2340,2340,plot-22.32,G43,,Limestone,block,broken,204.88,149.69,73.37,35.08,yes,central,mix,1,no,Anvil,,Samp for resid
Ein Quashish,S6106,S6106,plot-21.81,O50,,Limestone,block,broken,153.42,90.96,71.8,1840,yes,tip,pecking,1,no,Chopper,,???????? Samp for resid
Ein Quashish,S1573,S1573,plot-22.20,I42,,Limestone,block,broken,143.77,123.28,49.21,1599,yes,tip,pecking,1,no,Anvil,,Broken Anvil???-samp for resid
Ein Quashish,F6047,F6047,,F,O49,Limestone,block,broken,112.16,96.9,80.31,1244,yes,tip,pecking,4,no,Hammerstone,,many impact marks-samp for resis
Ein Quashish,S6143,S6143,plot-21.67,F,N49,Limestone,block,complete,113.49,79.29,76.38,803,no,,,,no,Manuport,,??
Ein Quashish,S1875,S1875,plot-22.05,B,K41,Limestone,block,broken,189.37,143.1,77.54,2484,yes,central,pecking,1,no,Anvil,,???????-Samp for resid
Nesher Ramla,1571,1571,5,37,,Limestone,Pebble,complete,58.67,34.68,34.25,101,no,,,,no,Manuport,,
Nesher Ramla,7307,7307,5,58,,Limestone,Pebble,complete,85.22,56.22,53.19,226,no,,,,no,Manuport,,
Nesher Ramla,5584,5584,5,45,,Limestone,Pebble,small_breakage,55.08,46.57,37.52,133,no,,,,no,Manuport,,
Nesher Ramla,924,924,5,37,,Limestone,Pebble,complete,68.07,66.21,38.04,244,yes,tip,pecking,1,no,Hammerstone,,??
Nesher Ramla,307,307,5,37,O21,Limestone,Pebble,complete,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8,8,5,37,L19,Limestone,block,broken,140.72,69.42,55.16,951,yes,tip,pecking,1,no,Chopper,,????????
Nesher Ramla,367,1,5,37,P19,Limestone,Pebble,complete,63.33,56.15,47.73,220,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8109,8109,5,45,,Limestone,Pebble,complete,82.46,69.55,47.82,351,no,,,,no,Manuport,,
Nesher Ramla,8741,8741-1,5,,,Limestone,Pebble,complete,68.45,68.37,38.07,262,no,,,,no,Manuport,,
Nesher Ramla,8741,8741-2,5,,,Limestone,block,broken,118.43,83.72,57.01,745,no,,,,no,Natural,,
Nesher Ramla,8741,8741,5,,,Limestone,block,broken,141.5,117.81,58.8,1481,yes,tip,pecking,1,no,Anvil,,????????????
Nesher Ramla,8741,8741-5,5,,,Limestone,block,broken,125.81,96.43,51.33,603,no,,,,no,Natural,,
Nesher Ramla,8741,8741-4,5,,,Limestone,Pebble,complete,75.17,51.03,44.28,234,no,,,,no,Manuport,,
Nesher Ramla,8741,8741-3,5,,,Limestone,Pebble,broken,82.37,60.33,56.95,373,no,,,,no,Manuport,,
Nesher Ramla,8741,8741-2,5,,,Limestone,Pebble,complete,65.14,63.61,51.87,295,no,,,,no,Manuport,,
Nesher Ramla,8741,8741-1,5,,,Limestone,block,broken,127.15,70.94,37.69,488,no,,,,no,Natural,,
Nesher Ramla,8741,8741-6,5,,,Limestone,Pebble,complete,75.27,69.15,48.64,434,no,,,,no,Manuport,,
Nesher Ramla,8741,8741-7,5,,,Limestone,block,broken,73.84,71.82,48.99,335,yes,tip,pecking,2,no,Chopper,,????
Nesher Ramla,8741,8741,5,,,Limestone,block,broken,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,84,84,5,37,,Limestone,Pebble,broken,5.93,39.36,34.63,134,no,,,,no,Manuport,,
Nesher Ramla,92,92,5,37A,,Limestone,Pebble,broken,74.57,47.92,29.6,166,no,,,,no,Manuport,,
Nesher Ramla,1666,1666,5,37,,Limestone,block,broken,119.09,87.17,26.05,497,no,,,,no,Natural,,
