site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,8743,8743-3,5,,,Limestone,Pebble,complete,89.72,57.97,51.42,421,no,,,,no,Manuport,,
Nesher Ramla,8743,8743-4,5,,,Limestone,Pebble,complete,94.15,60.53,40.1,310,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8743,8743-5,5,,,Limestone,Pebble,complete,73.21,60.28,58.89,384,no,,,,no,Manuport,,
Nesher Ramla,8743,8743-6,5,,,Limestone,Pebble,complete,0,0,0,0,yes,central,pecking,1,no,Hammerstone,,
Nesher Ramla,,x0,5,,,Limestone,Pebble,complete,80.45,63.66,38.43,257,no,,,,no,Manuport,,
Nesher Ramla,,x1,5,,,Limestone,Pebble,complete,56.49,35.22,24.34,75,no,,,,no,Manuport,,
Nesher Ramla,,x2,5,,,Limestone,Pebble,small_breakage,91.2,75.8,64.88,558,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,,x3,5,,,Limestone,Pebble,complete,0,0,0,0,no,,,,yes,Manuport,,
Nesher Ramla,,x3,5,,,Limestone,Pebble,complete,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8141,8141,5,45,,Limestone,Pebble,complete,82.05,59.81,37.18,283,no,,,,no,Manuport,,
Nesher Ramla,8141,8141-2,5,45,,Limestone,Pebble,small_breakage,51.85,48.81,33.6,,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8141,8141-1,5,45,,Limestone,Pebble,complete,0,0,0,0,no,,,,yes,Manuport,,burned?
Nesher Ramla,1534,1534,5,37,,Limestone,block,broken,0,0,0,0,no,,,,no,Undefined,,
Nesher Ramla,8646,8646,5,45,,Limestone,block,complete,128.6,120.79,78.44,1668,no,,,,no,Natural,,
Nesher Ramla,8646,8646-1,5,45A,,Limestone,Pebble,complete,42.57,35.24,31.93,64,yes,both,mix,2,yes,Undefined,,
Nesher Ramla,7044,7044,5,45,,Limestone,Pebble,complete,72.23,54.4,22.95,141,no,,,,no,Manuport,,
Nesher Ramla,7044,7044-1,5,45,,Limestone,Pebble,complete,95.94,87.29,51.14,550,no,,,,no,Manuport,,
Nesher Ramla,7044,7040-2,5,45,,Limestone,Pebble,complete,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,8255,8255,5,,,Limestone,Pebble,complete,63.33,58.82,39.49,201,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8255,8255-1,5,,,Limestone,Pebble,complete,85.51,70.01,45.2,349,yes,tip,polish,,no,Undefined,,
Nesher Ramla,7649,7649,5,54,,Limestone,Pebble,complete,71.19,63.73,50.62,318,no,,,,,Manuport,,
Nesher Ramla,7649,7649-1,5,54,,Limestone,Pebble,complete,79.96,73.14,57.39,524,no,,,,no,Manuport,,
Nesher Ramla,703,703,5,37,,Limestone,Pebble,broken,81.38,51.42,54.21,311,no,,,,no,Undefined,,
Nesher Ramla,5898,5898,5,,,Limestone,Pebble,complete,66.47,64.53,30.81,194,no,,,,no,Manuport,,
Nesher Ramla,5898,5898-1,5,,,Limestone,Pebble,broken,63.13,52.21,27.52,123,no,,,,no,Undefined,,firecrack?
Nesher Ramla,5033,5033,5,,,Limestone,Pebble,complete,61.43,58.28,39.99,198,no,,,,no,Undefined,,
Nesher Ramla,5033,5033-1,5,,,Limestone,Pebble,broken,67.33,44.68,36.37,180,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6780,6780-2,5,45,,Limestone,Pebble,complete,66.38,54.4,42.6,221,no,,,,no,Manuport,,
Nesher Ramla,328,328,5,37,,Limestone,Pebble,complete,53.76,44.52,35.5,113,no,,,,no,Manuport,,
Nesher Ramla,8246,8246,5,37,,Limestone,Pebble,broken,70.54,53.11,43.42,241,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6780,6780-1,5,45,,Limestone,Pebble,small_breakage,81.13,72.37,49.19,393,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6780,6780,5,45,,Limestone,Pebble,complete,45.22,37.26,34.29,84,no,,,,no,Manuport,,
Nesher Ramla,6780,6780,5,45,,Limestone,Pebble,complete,99.74,56.33,46.36,319,no,,,,no,Manuport,,
Nesher Ramla,6780,6780-3,5,45,,Limestone,Pebble,broken,78.48,58.72,27.53,146,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,8646,8646-1,5,45A,,Limestone,block,broken,0,0,0,0,yes,central,pecking,1,no,Anvil,,
Nesher Ramla,8282,8282,5,37,,Limestone,Pebble,complete,87.1,61.33,43.66,307,no,,,,no,Manuport,,
Nesher Ramla,6780,6780-1,5,45,,Limestone,Pebble,complete,84.27,68.22,38.05,332,yes,central,polish,,no,Undefined,,
Nesher Ramla,1254,1254,5,37,,Limestone,Pebble,complete,67.42,61.25,63,364,no,,,,,Manuport,,
